ID,Old_ID,DOI,Q1 - Review article? (Scopus),Q1 - Review article? (WoS),Q2 - Addendum or Neupane? (Scopus),Q2 - Addendum or Neupane? (WoS),Q3: Introduction section?,label in the reference list,Number of citation contexts,Citation marker,Citation context,Introduction section?,Author,Title,Year,Journal,Source,Other notes
146,145,10.1021/acs.jnatprod.5b00439,n,n,n,n,,22 ( c ),2,22,"Further investigation of the conformational differences was accomplished by computational methods. Following the conformational search of 1 and 4 with the MMFF94 force field, the obtained conformers within an energy window of 6 kcal/mol were optimized at the B3LYP/6-31G(d,p) level to afford each lowest-energy conformer of 1 and 4 (Figure 2). The 1H and 13C NMR chemical shifts and 1H−1H coupling constants of the lowest-energy conformers of 1 and 4 were estimated by density functional theory (DFT) calculations using the GIAO method at the mPW1PW91-SCRF/6-311+G- (2d,p) level (for NMR chemical shifts)22 or the B3LYP/6- 31G(d,p)u+1s level (for 1H−1H coupling constants).23 The calculated values were in agreement with the experimental data of 1 and 4 (Supporting Information), supporting the validity of the structures depicted in Figure 2. The NOE association between glucose H4 and HHDP H3′′ (δ 7.06) was also consistent with a calculated distance of 2.3 Å between these protons. In contrast, the distance in the structure of 4 was estimated to be 4.7 Å. The glucose H4 signals of the (R)- and (S)-HHDP isomers showed similar chemical shifts (δ 4.83 and 4.88, respectively), and these signals resonated further upfield compared to that of 1,4,6-trigalloyl glucose (δ 5.25). This observation suggested that the chemical shift of the glucose proton was affected by complex anisotropic effects from the ester carbonyl groups and aromatic rings.21",n,"Era M., Matsuo Y., Shii T., Saito Y., Tanaka T., Jiang Z.-H.",Diastereomeric Ellagitannin Isomers from Penthorum chinense,2015,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
146,145,10.1021/acs.jnatprod.5b00439,n,n,n,n,,22 ( c ),2,22,"The conformational search was carried out using a Monte Carlo method at the MMFF94 force field with Spartan’14 (Wave function, Inc., Irvine, CA, USA). Obtained low- energy conformers within 6 kcal/mol were optimized at the B3LYP- SCRF/6-31G(d,p) level in acetone (PCM). The vibrational frequencies were also calculated at the same level to confirm their stability, and no imaginary frequencies were found. NMR chemical shifts of the lowest-energy conformers were calculated using the GIAO method at the mPW1PW91-SCRF/6-311+G(2d,p)//B3LYP-SCRF/ 6-31G(d,p) level in acetone (PCM).22 1H−1H coupling constants of the lowest-energy conformers were calculated at the B3LYP-SCRF/6- 31G(d,p)u+1s (using only the Fermi contact term)//B3LYP-SCRF/6- 31G(d,p) level in acetone (PCM).23 Calculated NMR chemical shifts and 1H−1H coupling constants were linearly corrected for the experimental data. All DFT calculations were carried out using Gaussian 09.27 GaussView was used to draw the molecular structures.28",n,"Era M., Matsuo Y., Shii T., Saito Y., Tanaka T., Jiang Z.-H.",Diastereomeric Ellagitannin Isomers from Penthorum chinense,2015,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
147,146,10.1021/acs.jnatprod.5b00695,n,n,n,n,,19,1,19,"The relative configurations of the reported compounds 1–7 were assigned by a combined QM/NMR approach, comparing the experimental 13C/1H NMR chemical shift data and the related predicted values, as previously applied and reported. (13-18) This procedure was used, since the chemical shifts are the most diagnostic parameters of the local chemical and magnetic environment and the most reliably addressable by quantum chemical calculations. (19)",n,"Masullo M., Cantone V., Cerulli A., Lauro G., Messano F., Russo G.L., Pizza C., Bifulco G., Piacente S.","Giffonins J-P, Highly Hydroxylated Cyclized Diarylheptanoids from the Leaves of Corylus avellana Cultivar Tonda di Giffoni",2015,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
148,147,10.1021/acs.jnatprod.5b00832,n,n,n,n,,8 ( c ),2,8,"We previously demonstrated that the heat treatment of theacitrin C (1) in an acidic aqueous solution afforded theacitrinin A (5) and 2,3,5,7-tetrahydroxychroman-3-O-gallate (6) (Scheme 2). (4) This reaction comprises the elimination of the A-, C-ring unit of the flavan-3-ol and the aromatization of the cyclohexanedienone moiety. The 3a,8a-dihydrocyclopenta[a]indene-1,8-dione moiety of 5 retained two stereogenic carbons, C-3a′ and C-8a′, and we first examined their configurations by experimental and calculated ECD spectra. There were four possible stereoisomers, (3a′R,8a′R), (3a′R,8a′S), (3a′S,8a′R), and (3a′S,8a′S); however, (3a′R,8a′S)-5 and (3a′S,8a′R)-5 were unlikely due to ring strain imposed by the trans-junction of two five-membered rings. (6) Therefore, the ECD spectra for (3a′S,8a′S)-5 and (3a′R,8a′R)-5 were calculated. Low-energy conformers within 6 kcal/mol were initially obtained by a conformational search using the Monte Carlo method at the MMFF94 force field. The resulting conformers were subsequently optimized at the AM1 level and then reoptimized at the B3LYP/6-31G(d,p) level in MeOH (PCM). The lowest-energy conformers of (3a′S,8a′S)-5 and (3a′R,8a′R)-5 are shown in Figure 2. ECD spectra of the low-energy conformers with Boltzmann populations (>1%) were calculated at the TD-CAM-B3LYP/6-31G(d,p) level in MeOH (PCM), and the results were averaged (Figure 3A). (7) The experimental ECD spectrum of 5 showed a positive Cotton effect at 309 nm and negative Cotton effects at 371 and 244 nm. These Cotton effects resembled those of the calculated ECD spectrum of the (3a′S,8a′S)-5 diastereomer. In contrast, the calculated ECD spectrum of the (3a′R,8a′R)-5 diastereomer showed opposite signs of the Cotton effects at these wavelengths. From these data, the configurations of C-3a′ and C-8a′ of 5 were assigned as (3a′S,8a′S). The NMR chemical shifts of (3a′S,8a′S)-5 and (3a′R,8a′R)-5 were also calculated using the gauge-including atomic orbital (GIAO) method at the mPW1PW91/6-311+G(2d,p) level in acetone (PCM) (8) (Tables S5–S8, Supporting Information). The experimental 1H and 13C NMR chemical shifts agreed to a much greater extent with the calculated values for (3a′S,8a′S)-5 rather than (3a′R,8a′R)-5 [R2 = 0.9924 (3a′S,8a′S), 0.9828 (3a′R,8a′R) for 1H NMR chemical shifts; R2 = 0.9978 (3a′S,8a′S), 0.9974 (3a′R,8a′R) for 13C NMR chemical shifts] (Figures S10–S12, Tables S9 and S10, Supporting Information). The DP4 probability analysis, (9) which was developed to assign structure by comparing calculated and experimental NMR spectra, was also performed based on the calculated and experimental 1H and 13C NMR chemical shifts of 5. The DP4 analysis of the two possible structures gave 99.1% probability for the (3a′S,8a′S) structure (Table S11, Supporting Information). These results supported the (3a′S,8a′S) absolute configuration of 5.",n,"Matsuo Y., Okuda K., Morikawa H., Oowatashi R., Saito Y., Tanaka T.",Stereochemistry of the Black Tea Pigments Theacitrins A and C,2016,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
148,147,10.1021/acs.jnatprod.5b00832,n,n,n,n,,8 ( c ),2,8,"A conformational search was performed using the Monte Carlo method at the MMFF94 force field with Spartan’10 (Wavefunction, Irvine, CA, USA). The resulting low-energy conformers within 6 kcal/mol were optimized at the AM1 level with MOPAC2012,15 to afford low-energy conformers within 6 kcal/mol that were reoptimized at the B3LYP- SCRF/6-31G(d,p) level (PCM). The vibrational frequencies were also calculated at the same level to confirm their stability, and no imaginary frequencies were found. The 1H and 13C NMR chemical shifts of the low-energy conformers with Boltzmann populations greater than 1% were calculated using the GIAO method at the mPW1PW91-SCRF/6- 311+G(2d,p)//B3LYP-SCRF/6-31G(d,p) level in acetone or DMSO (PCM).8 Calculated NMR chemical shifts were linearly corrected for the experimental data. The energies, oscillator strengths, and rotational strengths of the low-energy conformers were calculated using TDDFT at the CAM-B3LYP-SCRF/6-31G(d,p)//B3LYP-SCRF/6-31G(d,p) level in MeOH (PCM).7 The ECD spectra were simulated by the overlapping Gaussian function with a 0.3 eV exponential half-width. The calculated data for each conformer were averaged according to the Boltzmann distribution theory at 298 K based on their relative Gibbs free energies. All DFT calculations were performed using Gaussian 09.16 GaussView was used to draw the 3D molecular structures.17",n,"Matsuo Y., Okuda K., Morikawa H., Oowatashi R., Saito Y., Tanaka T.",Stereochemistry of the Black Tea Pigments Theacitrins A and C,2016,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
149,148,10.1021/acs.jnatprod.6b00574,n,n,n,n,,9,3,9,"All attempts to obtain suitable crystals of 2 for X-ray analysis failed. Therefore, in order to provide further evidence for our structural assignment of 2, 1H NMR chemical shifts were calculated and compared with the experimental data according to the protocol of Willoughby and collaborators.9 Basically, this protocol involves a conformational search using molecular mechanics, geometry optimization using DFT, and chemical shift calculations using the GIAO method with the B3LYP/6- 311+G(2d,p) level of theory. The computed 1H NMR chemical shifts of compound 2 (Tables S5 and S7) were all within 0.28 ppm of the corresponding experimental values. As can be seen in Tables S5 and S8, the matched mean absolute error was <0.17 ppm.9",n,"Rangel-Grimaldo M., Rivero-Cruz I., Madariaga-Maz√≥n A., Figueroa M., Mata R.",alpha-Glucosidase Inhibitors from Preussia minimoides,2017,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
149,148,10.1021/acs.jnatprod.6b00574,n,n,n,n,,9,3,9,"All attempts to obtain suitable crystals of 2 for X-ray analysis failed. Therefore, in order to provide further evidence for our structural assignment of 2, 1H NMR chemical shifts were calculated and compared with the experimental data according to the protocol of Willoughby and collaborators.9 Basically, this protocol involves a conformational search using molecular mechanics, geometry optimization using DFT, and chemical shift calculations using the GIAO method with the B3LYP/6- 311+G(2d,p) level of theory. The computed 1H NMR chemical shifts of compound 2 (Tables S5 and S7) were all within 0.28 ppm of the corresponding experimental values. As can be seen in Tables S5 and S8, the matched mean absolute error was <0.17 ppm.9",n,"Rangel-Grimaldo M., Rivero-Cruz I., Madariaga-Maz√≥n A., Figueroa M., Mata R.",alpha-Glucosidase Inhibitors from Preussia minimoides,2017,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
149,148,10.1021/acs.jnatprod.6b00574,n,n,n,n,,9,3,9,"Minimum energy structures for the different stereoisomers were built with Spartan’08 software (Wave- function Inc.). Conformational analysis was performed with the Monte Carlo search protocol as implemented in the same software under the MMFF94 molecular mechanics force field. The resulting conformers were minimized using the DFT method at the B3LYP/6-311+G(2d,p) level of theory for NMR chemical shift prediction. NMR shielding tensors were computed with the gauge-independent atomic orbital (GIAO) method and the polarizable continuum model using the integral equation formalism variant (IEFPCM) as the SCRF method.9 The TDDFT method at the B3LYP/6-31+G(d) level of theory was employed for ECD calculations using the same DFT-minimized conformers. The self-consistent reaction field with conductor-like continuum solvent model was used to perform the ECD calculations of the major conformers of both 1 enantiomers in MeOH. The calculated excitation energy (nm) and rotatory strength (R) in dipole velocity (Rvel) and dipole length (Rlen) forms were simulated into an ECD curve. All calculations were performed employing the Gaussian’09 program package (Gaussian Inc.).",n,"Rangel-Grimaldo M., Rivero-Cruz I., Madariaga-Maz√≥n A., Figueroa M., Mata R.",alpha-Glucosidase Inhibitors from Preussia minimoides,2017,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
150,149,10.1021/acs.jnatprod.6b00799,n,n,n,n,n,64,1,64−66,"Currently the approach has been tested only on rigid molecules or on a molecule with very limited flexibility (epoxyroussoenone). For all of the examples considered, a single conformation approximation was assumed. The results obtained justified this assumption handily. However, for more flexible molecules, one would need to do an additional step of the chemical shift averaging for the ensemble of conformations. Usually the conformational analysis is done by using a stochastic generation algorithm, cluster analysis of conforma- tions, and DFT optimization of electronic and/or free Gibbs free energies, which would be used to calculate weights of conformations based on the Boltzmann distribution. We and others have successfully applied this approach,64−66 and we are planning to extend the present study in this direction.",n,"Buevich A.V., Elyashberg M.E.","Synergistic Combination of CASE Algorithms and DFT Chemical Shift Predictions: A Powerful Approach for Structure Elucidation, Verification, and Revision",2016,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
151,150,10.1021/acs.jnatprod.7b00587,n,n,n,n,,24,1,24,The generation of conformers was performed using Schrödinger MacroModel 2016 by following the protocol reported by Willoughby et al. (24) First-principle calculations based on density functional theory (DFT) were carried out to optimize the atomic structures at the B3LYP/6-31G(d) level with the GAUSSIAN 16 suite of programs. (25) Electronic transition and rational strength were calculated using the TDDFT method at the same theoretical level. The solvent effect in MeOH solution was considered during all calculations using the polarizable continuum model. (26) Boltzmann-weighted UV and ECD were calculated using the freely available software SpecDis (27) and GaussSum (28) using a sigma/gamma value of 0.25 eV.,n,"Robertson L.P., Duffy S., Wang Y., Wang D., Avery V.M., Carroll A.R.","Pimentelamines A-C, Indole Alkaloids Isolated from the Leaves of the Australian Tree Flindersia pimenteliana",2017,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
152,151,10.1021/acs.jnatprod.7b00807,n,n,n,n,,6,1,6,"During the structure determination of a new molecular entity, the assignment of its stereochemical features is a crucial part of the process.1 Specifically, the determination of the relative configuration of all of the stereogenic centers in a new compound can be troublesome and particularly problem- atic if using only NMR spatial correlations (NOE) or by measuring proton−proton and long-distance heteronuclear coupling constants in the well-known J-based configurational analysis (JBCA).2 Other methods that can be effective include chiral derivatization,3 comparison with bibliographic chemical shifts in the Kishi database,4 or the use of molecular alignment media to calculate residual dipolar couplings (RDCs) or residual chemical shift anisotropic data.5 Unfortunately these techniques may not be enough to elucidate the overall relative configuration, especially when the compounds have clusters of stereocenters separated by two or more methylene groups. Over recent years, the use of computational modeling has emerged as a supplementary method to determine the arrangements of these molecules, being able to calculate not only NMR chemical shifts6 but also other physical properties such as circular dichroism or infrared data. Nowadays, the 1H and 13C NMR chemical shift values predicted based on DFT calculations7 have provided a remarkable contribution to the study of the relative configuration of new chemical entities, beyond the limits of X-ray and neutron diffraction methods.8 Although this approach has been commonly used in rigid systems and for close stereogenic centers, it becomes particularly challenging when the two stereoarrangements are separated, for instance, by either contiguous methylenes ([CH2]n), methynes [(CH═CH)n], or nonstereogenic quaternary carbons.9 ",n,"Tarazona G., Benedit G., Fern√°ndez R., P√©rez M., Rodr√≠guez J., Jim√©nez C., Cuevas C.",Can Stereoclusters Separated by Two Methylene Groups Be Related by DFT Studies? The Case of the Cytotoxic Meroditerpenes Halioxepines,2018,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
153,152,10.1021/acs.jnatprod.7b00926,n,n,n,n,,27,1,27,"Nonetheless, incorporation of these 3D structural elucidation methodologies into the existing CASE-2D methodologies to solve for relative configuration is far from being a trivial problem, although attempts have been made to incorporate NOE restrictions into CASE programs.26 A recent contribution is a hybrid Python/Java system developed by Goodman’s group, which encapsulates the DFT chemical shift prediction computations and DP4 analysis steps.17 The group of Hoye has also provided scripts for automation of GIAO computations according to their recently published protocol.27",n,"Navarro-V√°zquez A., Gil R.R., Blinov K.",Computer-Assisted 3D Structure Elucidation (CASE-3D) of Natural Products Combining Isotropic and Anisotropic NMR Parameters,2018,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
154,153,10.1021/acs.jnatprod.8b00024,n,n,n,n,,83,1,83,"Initial conformational analyses for allianthrones A−C (4−6) were performed in Spartan’14 (Wave-function) using MMFF94 with 100 000 maximum conformers for each candidate structure (three total). All conformers with a relative energy lower than 5 kcal/mol were carried forward for QM analysis and optimization. The conformers were saved as an .SDF file, and a Python script was used to generate Gaussian 0982 input files for each conformer for gas and solvated geometry optimization and frequency calculations as well as TDDFT computations. Gas-phase geometry optimization and frequency calculations were performed at the B3LYP/6-31G level and were analyzed for duplicate conformers and imaginary frequencies using a Python script.83 Conformers with a relative energy lower than 5 kcal/mol were once again carried forward for more rigorous QM geometry optimization with the integral equation formalism variant polarizable continuum model (IEFPCM) in MeCN at the CAM-B3LYP/TZVP level. The Gaussian outfiles were analyzed as above, and conformers contributing to greater than 1% were carried forward in TDDFT calculations. The ECD spectra were calculated by the TDDFT methodology at the ωB97XD/TZVP level utilizing IEFPCM with 40 states in MeCN. UV and ECD spectra were generated and Boltzmann averaged utilizing a Python script developed by the authors, which is available upon request. The script relies significantly on the computational chemistry parsing utility cclib.84 The resultant spectra were compared in MS Excel. On the basis of these computations, we were able to assign compound 5 as 10R, 10′R and compound 6 as 10S, 10′S.",n,"Mandelare P.E., Adpressa D.A., Kaweesa E.N., Zakharov L.N., Loesgen S.",Coculture of Two Developmental Stages of a Marine-Derived Aspergillus alliaceus Results in the Production of the Cytotoxic Bianthrone Allianthrone A,2018,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
155,154,10.1021/acs.jnatprod.8b00234,n,n,n,n,,23,1,23,"Next, the calculated and experimental ECD spectra were compared to predict the atropisomeric forms of 1 and 2. Starting from the conformers related to the diastereoisomers featuring both the (10′R) and (10′S) absolute configurations and the M/P atropisomeric forms (1a, 1b, 2a, and 2b, Figure 2), the ECD curves were calculated at the MPW1PW91/6- 31G(d,p) functional/basis set in EtOH (IEFPCM) to reproduce the effect of the solvent.17 Comparison of the experimental and calculated ECD curves of 1 and 2 (Figure 3) showed that the calculated spectra of the (M) atropisomeric forms (1a and 1b) are similar to the experimental ECD of 1. On the other hand, the simulated spectra of atropisomeric forms (P) (2a and 2b) are superimposable to the experimental ECD spectrum of 2, regardless of the relative configuration at C-10′. Therefore, these results suggest that the Cotton effects are not influenced by the 3D arrangement at C-10′, further supporting the hindered rotation of the biaryl bond. These results highlighted an important result in the stereoassignment process: the real structure of 1 is restricted to those of 1a and 1b, whereas 2 will correspond to 2a or 2b. Consequently, in order to assign the C-10′ configuration, we applied a DFT/ NMR approach that has been successfully used in the characterization of unknown stereostructures by us18−22 and by other research groups.23 For both pairs of possible diastereoisomers (1a or 1b vs 1, and 2a or 2b vs 2), the Boltzmann-weighted averages of the predicted 13C NMR chemical shifts were computed at the MPW1PW91/6- 31G(d,p) level, accounting for the energies of each sampled conformer on the final Boltzmann distribution. Furthermore, the multistandard approach (MSTD)24,25 was employed, using tetramethylsilane (TMS) and benzene as reference for sp3 and sp2 13C atoms. For each atom, the experimental and calculated 13C NMR chemical shifts were compared and the mean absolute errors (MAEs) for the pairs of possible diastereoisomers were computed.",n,"Khalfaoui A., Chini M.G., Bouheroum M., Belaabed S., Lauro G., Terracciano S., Vaccaro M.C., Bruno I., Benayache S., Mancini I., Bifulco G.",Glucopyranosylbianthrones from the Algerian Asphodelus tenuifolius: Structural Insights and Biological Evaluation on Melanoma Cancer Cells,2018,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
156,155,10.1021/acs.jnatprod.8b00494,n,n,n,n,,21,1,21,Schrödinger MacroModel 2016 was used to generate conformers using Willoughby et al.’s protocol.21 The atomic structures of these conformers were further optimized using DFT at the B3LYP/6-31G(d) level in GAUSSIAN 16.22 The TDDFT method was used to calculate electronic transition and rotational strength at the B3LYP/6-31G(d) level. All calculations used the polarizable continuum model to take into account the effect of the MeOH solvent.23 A sigma/gamma value of 0.25 eV was used to calculate Boltzmann-weighted UV and ECD spectra in SpecDis.24,n,"Senadeera S.P.D., Robertson L.P., Duffy S., Wang Y., Avery V.M., Carroll A.R.",beta-Triketone-Monoterpene Hybrids from the Flowers of the Australian Tree Corymbia intermedia,2018,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
157,156,10.1021/acs.jnatprod.8b00567,n,n,n,n,,68,1,68,"Conformer ensembles of 100 structures each for both wrightiadione and tryptanthrin were generated in Amber65 after geometry relaxation using the Merck molecular force field (MMFF94)66 implemented in Avogadro (v1.1.1).67 NMR chemical shifts were predicted using a protocol similar to that outlined by Willoughby et al.68 Density functional theory (DFT) calculations were performed using NWChem (v6.6).69 The M06-2X exchange- correlation functional was used for geometry optimization, and the B3LYP exchange-correlation functional was used for NMR chemical shift calculation using the gauge-independent atomic orbitals (GIAO) method,70 performed with Pople basis set at the 6-311+G(2d,p) level.71 All basis sets were obtained from the EMSL Basis Set Exchange (bse.pnl.gov).72 For all calculations, the solvent (chloro- form) was represented using a conductor-like screening model.73 NWChem output files were processed with Boltzmann-weighting68 using chemical shifts from all 100 conformers for each molecule. The NWChem and structure inputs for DFT calculations are included in the Supporting Information. Chemical shifts were analyzed with DP4.46 The CCS for wrightiadione (1) and tryptanthrin (2) were calculated following methods described previously in which DFT- based ab initio molecular dynamics implemented in NWChem was used to sample 100 gas-phase conformers for each molecule.74 CCS values were then calculated for all conformers using the MOBCAL software,75 with final CCS values obtained by Boltzmann weighting.",n,"Garcellano R.C., Moinuddin S.G.A., Young R.P., Zhou M., Bowden M.E., Renslow R.S., Yesiltepe Y., Thomas D.G., Colby S.M., Chouinard C.D., Nagy G., Attah I.K., Ibrahim Y.M., Ma R., Franzblau S.G., Lewis N.G., Aguinaldo A.M., Cort J.R.",Isolation of Tryptanthrin and Reassessment of Evidence for Its Isobaric Isostere Wrightiadione in Plants of the Wrightia Genus,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
158,157,10.1021/acs.jnatprod.8b00713,n,n,n,n,,5,2,4−6,"NMR data derived from NOESY or ROESY pulse sequences play an important role in solving the relative configuration of natural products, notably when informed by J- based configurational analysis (JBCA). This approach, which utilizes the information deduced from homonuclear and heteronuclear coupling constants to elucidate relative config- uration, is well understood for 1,2-dimethine and related acyclic systems.1,2 These spectroscopic methods have been aided by recent advances in theoretical prediction of coupling constants.3 Computational methods4−6 that involve predic- tions of chemical shift values and associated mean absolute error (MAE) values have provided a valuable complementary approach. In addition, probability predictions calculated using DP47 or DP4+8 algorithms aid in the selection of preferred diastereoisomers.9",n,"Forster L.C., Pierens G.K., Garson M.J.",Elucidation of Relative and Absolute Configurations of Highly Rearranged Diterpenoids and Evidence for a Putative Biosynthetic Intermediate from the Australian Nudibranch Goniobranchus geometricus,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
158,157,10.1021/acs.jnatprod.8b00713,n,n,n,n,,5,2,4−6,"Approaches that can be applied to assign the absolute configuration of natural products include comparison of specific rotations and/or electronic circular dichroism (ECD) measurements, X-ray crystallography, Mosher’s analysis, and computational methods. X-ray crystallography no longer requires a heavy atom for determination of absolute configuration.10,11 For metabolites containing secondary alcohols, analysis of Mosher ester products by NMR spectroscopy is routinely used to determine absolute configurations.12,13 Computational methods4−6 comparing experimental and time-dependent density functional theory (TDDFT)-derived ECD data14 can facilitate the assignment of absolute configuration for a natural product providing a chromophore is present and spatially near the stereogenic center.9",n,"Forster L.C., Pierens G.K., Garson M.J.",Elucidation of Relative and Absolute Configurations of Highly Rearranged Diterpenoids and Evidence for a Putative Biosynthetic Intermediate from the Australian Nudibranch Goniobranchus geometricus,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
159,158,10.1021/acs.jnatprod.8b00838,n,n,n,n,,13b,1,13,"A conformational search was performed using the Monte Carlo method and the MMFF94 force field with Spartan ’14 (Wavefunction, Irvine, CA, USA). The obtained low-energy conformers within a 6 kcal/mol window were optimized at the B3LYP/6-31G(d,p) level (PCM) (1 and 3) or at the B3LYP/6- 311+G(2d,p) level (PCM) (2). The vibrational frequencies were calculated at the same level to confirm their stability, and no imaginary frequencies were found. The 1H and 13C NMR chemical shifts of the low-energy conformers with Boltzmann populations greater than 1% were calculated using the gauge-including atomic orbital (GIAO) method at the mPW1PW91/6-311+G(2d,p) level (PCM).13 Calculated NMR chemical shifts were linearly corrected for the experimental data. 1H NMR coupling constants of the low-energy conformers were calculated at the B3LYP/6-31G(d,p)u+1s (using only the Fermi contact term) level (PCM) and scaled by using the slope parameter 0.94.14 The energies, oscillator strengths, and rotational strengths of the low-energy conformers were calculated using TDDFT at the CAM-B3LYP/6-31G(d,p) level (PCM) (1 and 3) or at the BH&HLYP/6-311+G(2d,p) level (PCM) (2).15 The ECD spectra were simulated by the overlapping Gaussian function with a 0.35 eV (1), 0.60 eV (2), or 0.30 eV (3) exponential half- width. Specific rotations of the low-energy conformers with Boltzmann populations larger than 1% were calculated at the B3LYP/6-311+G(2d,p) level (PCM) by using frequency-dependent polarizabilities at 589.3 nm. The calculated data for each conformer were averaged according to the Boltzmann distribution theory at 298 K based on their relative Gibbs free energies. All DFT calculations were performed using Gaussian 09.16 GaussView was used to draw the three-dimensional molecular structures.17",n,"Era M., Matsuo Y., Saito Y., Nishida K., Jiang Z.-H., Tanaka T.",Ellagitannins and Related Compounds from Penthorum chinense,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
160,159,10.1021/acs.jnatprod.8b00956,n,n,n,n,,20,1,20,The lowest energy conformers of 1 were generated using Schrödinger MacroModel 2016 by following the procedure reported by Willoughby et al.20 Initial geometry optimizations were performed on each of the 19 generated conformers with first-principle calculations based on density func- tional theory (DFT) at the B3LYP/6-31G(d) level using Grimme’s empirical dispersion corrections (D3).21 The conformers were then reoptimized with the B3LYP/def2SVP functional/basis set combina- tion utilizing empirical dispersion corrections (D3) and the polarizable continuum solvent model (PCM).22 Free energy calculations were performed at the same level. Electronic transition and rational strength were calculated using TDDFT using the CAM- B3LYP/def2-SVP and M062X/def2-SVP combinations with consid- eration of the solvent effect using the PCM. Boltzmann-weighted UV and ECD spectra were calculated using the freely available software SpecDis23 using a sigma/gamma value of 0.3 eV. The experimental ECD spectrum was processed using SDAR.24 All DFT calculations were carried out using the Gaussian 16 suite of programs.25 All TDDFT protocols were based on the method described by Pescitelli and Bruhn.26,n,"Robertson L.P., Lucantoni L., Duffy S., Avery V.M., Carroll A.R.",Acrotrione: An Oxidized Xanthene from the Roots of Acronychia pubescens,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
161,160,10.1021/acs.jnatprod.8b01054,n,n,n,n,,38,1,38,"A conformational analysis was performed using a previously reported Shell script.31 Briefly, 300 energy-minimized 3D structures of the stereoisomers of 1 and 3−5 were generated from the 2D chemical structures using Open Babel and Balloon.32,33 The single-point energy of each conformer was calculated with the PM7 Hamiltonian by MOPAC2016.34 The lowest-energy conformers were geometrically optimized with a B3LYP/6-31G(d) level of theory in the gas phase by Gaussian 09.35 Optimized structures were reoptimized at the B3LYP/ 6-31+G(d,p) level of theory in the gas phase followed by NMR single- point energy calculations using the GIAO method with a mPW1PW91/6-311+G(2d,p) level of theory in an implicit solvent (MeOH) model. The computed NMR isotropic shielding constants (σ) of 1H and 13C were scaled by the following equation: δ= (b−σ)/−m where δ is the scaled chemical shift value relative to TMS, and b and m are the intercept and slope from a linear regression analysis of known experimental 1H or 13C chemical shifts for a set of small organic compounds, respectively.36 The b (31.8463 for 1H and 186.5993 for 13C) and m (−1.0754 for 1H and −1.0399 for 13C) values were taken from the literature as the specific scaling factors to obtain δ in MeOH.37 The mean absolute error (MAE) between the computed and experimental chemical shift sets was used to quantitatively evaluate goodness of fit of the modeled stereoisomers.38 The calculation of ECD for 3−5 was conducted at the B3LYP/6- 31G(d,p) level of TDDFT in MeOH using the conductor-like polarizable continuum model (CPCM) by Gaussian 09. The ECD spectra were obtained from 45 calculated excitation energies and rotational strengths as the sum of Gaussian functions centered at the wavelength of each transition with a parameter σ, which is the width of the band at half-height, of 0.30 eV.",n,"Murata T., Katagiri T., Ishikawa Y., Abe M., Takahashi E., Iwahana R., Sakamoto Y., Sasaki K.",Inhibitory Effects of Phenylpropanoid Derivatives from Oenanthe javanica on Antigen-Stimulated Degranulation in RBL-2H3 Cells,2019,JOURNAL OF NATURAL PRODUCTS,"Scopus, Web of Science",
